added,collx_id,category,number,name,team,year,brand,set,flags,condition,front_image,back_image,market_value,asking_price,sold_for_price,purchase_price,location,notes,quantity
7/20/26,1115575046946478080,Baseball,BO-10,Mike Trout,Los Angeles Angels,2026,Topps,2026 Topps - Flagship Collection Bulk Order (Series Two),,RAW,https://storage.googleapis.com/collx-product-images/1115575046946478080-1-lda1.jpg,https://storage.googleapis.com/collx-product-images/1115575046946478080-2-ISLK.jpg,1.99,2,,,Mule Sauce,,1
7/20/26,1115575050536802304,Baseball,37,Munetaka Murakami,Chicago White Sox,2026,Topps,2026 Topps - Flagship Collection (Series Two),,RAW,https://storage.googleapis.com/collx-product-images/1115575050536802304-1-2B7Y.jpg,https://storage.googleapis.com/collx-product-images/1115575050536802304-2-wvBj.jpg,3.99,4,,,Mule Sauce,,1
7/20/26,1115575054303287296,Baseball,TOG-28,Munetaka Murakami,Chicago White Sox,2026,Topps,2026 Topps - Titans of the Game,,RAW,https://storage.googleapis.com/collx-product-images/1115575054303287296-1-Dvmj.jpg,https://storage.googleapis.com/collx-product-images/1115575054303287296-2-h243.jpg,1.31,1.92,,,Mule Sauce,,1
7/20/26,1115575039489005568,Baseball,550,Mark Vientos,New York Mets,2023,Topps,2023 Topps,RC,RAW,https://storage.googleapis.com/collx-product-images/1115575039489005568-1-EeT.jpg,https://storage.googleapis.com/collx-product-images/1115575039489005568-2-ddfd.jpg,1.35,1.5,,,Mule Sauce,,1
7/20/26,1115575042844448768,Baseball,626,Max Muncy,Athletics,2026,Topps,2026 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575042844448768-1-ITPo.jpg,https://storage.googleapis.com/collx-product-images/1115575042844448768-2-Q5IA.jpg,0.30,0.5,,,Mule Sauce,,1
7/20/26,1115575032299968512,Baseball,171,Mychal Givens,New York Mets,2023,Topps,2023 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575032299968512-1-3uPX.jpg,https://storage.googleapis.com/collx-product-images/1115575032299968512-2-8ajO.jpg,1.00,1,,,Mule Sauce,,1
7/20/26,1115575035789629440,Baseball,291,New York Mets,New York Mets,2023,Topps,2023 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575035789629440-1-zSJK.jpg,https://storage.googleapis.com/collx-product-images/1115575035789629440-2-lnLj.jpg,1.13,1,,,Mule Sauce,,1
7/20/26,1115575024137852928,Baseball,382,Minnesota Twins,Minnesota Twins,2023,Topps,2023 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575024137852928-1-aKnb.jpg,https://storage.googleapis.com/collx-product-images/1115575024137852928-2-pmUL.jpg,0.99,1,,,Mule Sauce,,1
7/20/26,1115575028097275904,Baseball,374,Michael Taylor,Minnesota Twins,2023,Topps,2023 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575028097275904-1-mxBI.jpg,https://storage.googleapis.com/collx-product-images/1115575028097275904-2-jwZe.jpg,1.32,1.5,,,Mule Sauce,,1
7/20/26,1115575016671991808,Baseball,688,Minnesota Twins,Minnesota Twins,2025,Topps,2025 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575016671991808-1-fDDt.jpg,https://storage.googleapis.com/collx-product-images/1115575016671991808-2-96B7.jpg,1.75,2,,,Mule Sauce,,1
7/20/26,1115575020539140096,Baseball,374,Michael Taylor,Minnesota Twins,2023,Topps,2023 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575020539140096-1-mQC8.jpg,https://storage.googleapis.com/collx-product-images/1115575020539140096-2-5HFe.jpg,1.32,1.5,,,Mule Sauce,,1
7/20/26,1115575005255096320,Baseball,197,Neal Heaton,Montreal Expos,1989,Topps,1989 Topps,,RAW,https://storage.googleapis.com/collx-product-images/1115575005255096320-1-K2Q3.jpg,https://storage.googleapis.com/collx-product-images/1115575005255096320-2-CI1L.jpg,0.99,1,,,Mule Sauce,,1
7/20/26,1115575008493099008,Baseball,129,Mark Vientos,New York Mets,2025,Topps,2025 Topps Chrome,,RAW,https://storage.googleapis.com/collx-product-images/1115575008493099008-1-tGd2.jpg,https://storage.googleapis.com/collx-product-images/1115575008493099008-2-ikbc.jpg,2.00,1,,,Mule Sauce,,1
